from_address,sum
0xC1f87ECbbA973728a06B6dFD18a2399cCCCa0376,0.723
0x3F12999A9122fD5B254405FB8A797dB162eAAC9c,0.717
0xf1EFb5235308B6736c31532002Fd36fF4ea91782,0.7080000000000001
0x1aFb41E5fD28a7c55C2b30eff6544364dDf0151e,0.704
0x98c7a0c5ec68939D43F30488E673F59B668967Ea,0.702
0x737149DC2C8572a78927D3438e91d4B1ae445Abd,0.676
0x587ed0683581fE5bD127A3CE4450cFCe7E00629c,0.6719999999999999
0x637Bb85f830CFae4b5f1Ae83919cCA896c1fB6cC,0.6719999999999999
0xfe5E004943940b09B69D6B0Ec8B850ad4F152d43,0.67
0x96B25Ea338984F300e3A0F3590d206a9FA2CE2FA,0.649
0xc9F69b00aB541EaDA632e1dA19B71f0Bf82578B2,0.632
0x9dB6a774020ccf08b5Ed0Ed950762a2245392f60,0.629
0x1f9794A6dA51648e45b46ef47C15fF22d8478685,0.62
0x276b2F3eb77e7816d1e57f21c1CFA6A5a0eCd1E9,0.619
0xF3D7459C7F6F75252AAdF594D2Ea74F04B359F82,0.609
0x256b1F4766eea4E02b5cf960a13aF928d5f6c217,0.602
0x54bA36887df439A10E3fa6e6F47e5418B2475aC8,0.594
0xdbFF52676193003c5293A91B243da80892b94Df9,0.577
0x0fa1288c9EdDFbCFb93F484E19Bd2C7564f72368,0.5740000000000001
0xA7cEDAbC04CC2b682B065b0caE017d0efE880779,0.568
0xbDD30323b543D5A7917F32c34eBFf757daB82832,0.558
0xBebAe7CFC138BE7547ff7c7EEF7DBdb25c64112D,0.545
0x6308ee612ac0Ce68e00DBBA12f946685bFCEE3fC,0.543
0x5a3d751D27F6d75b7bd94fda80B8224E42d9cE58,0.541
0xCEB244FEd3FE1EE5f3E7B0d0E5A8850b8F8EF3c1,0.536
0x17542889f48d43E97e70Bc439D6A130c7eD5183C,0.532
0x19F4d9bc8A3E1A59c486E9f16B12CF017481181B,0.527
0x27F42e7AA2f4e8Bd758c10DB4bf0e7Dcd23564cc,0.52
0x5aAAB77e9b3B13C509e7813533FDd5Acdfd1ec9a,0.518
0xdE9Fb8bE0d7E47F5b05B93798DB7be47f9a04fd8,0.517
0xB3a1581B786d724d34377D2A90C6f239887d1908,0.515
0x264226D0463DF45A85dd13000C60D72FcCCdEA49,0.507
0x120906D0Ff4C085C71cD929721DF9Bd3FBe04920,0.506
0x8CE6C312546A7773f94125dCdDC05E4eD630cE1e,0.501
0x64a75fEFd4037B4417f5e999f769bB3564d0178e,0.499
0x3A6f0416fB5678efe6eC415c984B0D64E456E2F7,0.497
0x45F707E26A18547192820dcF01a05aD2712dADb4,0.492
